#Date,Amer Sports A,Cargotec,Elisa,Fortum,Huhtamaki,Kesko B,Kone,Konecranes,Metso,Metsa Board B,Neste,Nokia,Nokian Renkaat,Nordea,Orion B,Outokumpu,Outotec,Sampo A,Stora Enso R,Telia,Tieto,UPM-Kymmene,Valmet,Wartsila,YIT
2014-10-10,-1.466,-3.058,1.053,-1.557,-1.223,-2.009,-2.125,-4.401,-3.194,-1.904,0.885,-1.858,-1.88,-0.468,0.102,-3.965,-1.509,-1.008,-1.799,-0.97,-2.008,-1.586,-1.567,-3.18,-1.645
2014-10-13,-0.947,-0.612,-1.667,-0.927,-0.941,-0.569,0.065,-1.483,0.187,0.954,0.815,0.868,3.091,-0.418,-1.944,1.978,-1.054,-0.563,0.916,-0.196,0.554,0.284,-1.799,-1.205,-0.372
2014-10-14,0.819,3.979,0.847,0.165,-1.2,0.878,0.939,0.779,1.534,1.597,0.062,-0.625,1.436,-0.052,-2.4,0.886,3.775,0.027,3.135,0,1.046,1.607,0,0.183,2.612
2014-10-15,-0.677,-2.87,-2.416,-2.584,-2.176,-2.877,-1.732,-2.061,-3.981,-4.973,-3.354,-5.193,-3.83,-3.412,-3.136,-8.152,1.959,-3.476,-4.96,-1.766,-3.052,-3.442,0.775,-1.492,-4.636
2014-10-16,-1.84,0.891,0.323,-1.919,-0.362,0.039,0.229,1.683,1.881,-0.338,2.571,1.743,1.255,-0.109,-3.348,1.001,0.091,-1.033,-0.084,0.4,0.225,-0.096,-0.49,0.124,0.953
2014-10-17,2.5,3.719,4.882,2.071,4.309,3.974,4.072,3.466,2.901,5.251,0.564,2.692,5.772,4.897,3.502,5.498,0.731,2.849,5.897,1.294,3.926,4.918,5.411,0.926,3.683
2014-10-20,1.423,-2.331,0.051,-0.113,-1.045,1.948,-0.25,0.25,-2.051,-0.933,-0.187,-1.827,-0.808,-0.985,-0.625,-3.759,0.907,-1.125,0,-0.393,-0.863,-0.735,1.6,-0.306,-0.729
2014-10-21,0.802,5.369,2.249,0.451,2.113,1.654,1.663,2.145,3.364,4.418,1.436,4.207,2.037,4.453,-2.591,2.53,-0.45,1.748,3.898,0.69,1.579,1.944,1.312,0.828,3.303
2014-10-22,0.596,2.134,2.4,1.292,0.246,6.833,0.556,9.619,2.098,1.213,2.523,1.087,-0.599,-1.153,1.292,0.087,1.897,0.436,-1.149,0.588,2.412,0.908,-0.907,4.35,-0.178
2014-10-23,-0.593,0.299,1.807,-0.111,1.425,-2.064,0.43,-1.292,-4.003,0.891,3.181,3.533,-1.165,1.218,1.8,-0.13,-2.837,1.031,1.394,2.337,0.209,-0.36,0,3.061,-0.178
2014-10-24,-0.861,-0.935,-0.863,-0.944,-2.616,0.657,-0.183,-2.256,-3.284,-0.579,-1.163,-1.632,-2.033,-0.15,-1.29,-3.421,1.825,0.134,-1.833,-0.476,-0.313,-1.355,3.203,-1.499,0.802
2014-10-27,-0.602,-0.773,0.629,-0.168,-0.697,-0.069,0.582,0.277,-1.335,-0.889,-0.824,-0.452,-0.415,-1.255,-0.448,-2.78,-1.792,0.107,-0.934,0,-0.157,-1.19,3.357,0.89,-4.244
2014-10-28,0.941,1.644,2.644,0.505,1.202,0.172,0.152,1.335,1.508,2.999,0.415,0.682,1.167,0.966,1.275,5.397,-1.369,0.724,3.849,2.199,0.944,13.16,0.98,0.569,1.939
2014-10-29,0.999,-0.766,0.328,0.223,-0.792,2.846,0.304,1.09,-0.495,-0.871,-0.296,-1.204,0.247,1.208,-1.148,-2.932,-0.463,0.426,-2.95,1.684,3.119,-1.556,-0.061,1.528,-0.815
2014-10-30,-0.264,0.557,0.794,0.223,0.649,-0.067,1.455,-0.225,-1.914,2.938,-0.593,0.305,0.781,0,1.61,-1.443,-2.788,0.238,0.701,0.46,-1.159,2.829,1.821,0.279,-2.74
2014-10-31,0.992,2.431,1.436,2.836,0.248,0.834,2.449,0.495,1.6,1.706,2.862,1.139,-8.316,0.697,-0.147,3.065,0.86,0.899,1.78,-0.458,3.06,2.104,0.537,2.752,-0.094
2014-11-03,0.917,1.624,-0.228,-1.406,-1.583,-0.993,-2.07,-0.493,-0.845,0,-0.754,1.351,-1.69,-1.285,-0.701,2.53,-2.844,-0.629,-0.076,0.552,-1.633,-0.317,-1.246,-2.083,1.316
2014-11-04,0,-2.499,0.183,0.055,-1.005,1.07,-1.221,-0.541,-2.906,0,-0.701,-3.63,-0.181,-0.45,1.784,-4.545,-4,0.58,-0.989,0,-0.503,-0.318,1.141,-0.553,-0.186
2014-11-05,2.077,2.941,1.462,0.713,-0.102,2.513,2.381,1.54,1.676,1.128,4.941,1.614,0.952,1.961,0.84,-9.206,0.407,1.573,1.998,2.836,3.337,1.116,1.485,1.278,0.372
2014-11-06,-0.318,3.429,-0.27,0.327,0.051,-0.677,0.971,1.918,-0.628,0,2.466,0.378,0.943,-1.479,-2.463,-1.299,0.202,-1.471,0.226,-1.423,0.783,1.025,-0.176,1.152,3.796
2014-11-07,-0.255,0.75,-1.445,-1.519,0.203,-1.072,-0.379,0.131,-1.224,-2.517,0,-3.09,-1.823,-1.451,-0.186,-4.656,-1.293,-1.231,-0.526,-0.451,-2.136,-1.405,-1.172,0.217,-1.07
2014-11-10,1.598,0.431,0.779,1.543,0.304,1.182,1.814,0.35,2.639,-1.115,-0.219,1.944,0.951,1.016,1.414,-1.433,-1.105,-0.027,0.151,0.363,0.744,-0.95,1.127,1.137,0.902
2014-11-11,-0.378,-0.156,2.545,0.922,-0.354,0.389,1.121,0.174,-0.312,1.128,0.164,0.458,-1.301,0.402,1.174,-0.862,-2.07,0.902,-0.302,1.355,0,0.4,-0.293,0.83,-1.43
2014-11-12,-0.884,-3.555,-1.33,-1.935,-1.318,-1.616,-1.535,-0.87,-0.508,-0.558,0.328,-1.291,-0.227,-2.954,-2.175,4.726,1.352,-0.868,-3.482,-1.426,-3.053,-2.229,0.471,-2.335,-1.269
2014-11-13,1.338,2.633,0.539,-0.164,-1.542,1.873,1.184,1.36,0.864,-0.561,-0.055,2.231,-0.456,0.052,1.927,1.66,1.793,0.875,1.333,0.723,1.524,2.524,-0.644,0.924,-0.367
2014-11-14,1.006,0.552,0.447,0.494,1.514,0.387,0.143,-1.385,-1.168,0.861,1.91,-5.493,0.229,0.619,0.473,-2.5,-0.983,0.473,1.238,-0.18,-0.3,0.635,-1.473,-0.135,-2.765
2014-11-17,-0.56,0.471,0.667,0.383,0.308,0.257,0.256,0.044,-0.709,-0.294,-0.375,-1.115,0,0.205,-0.688,5.965,-2.317,-0.209,0.765,0.27,-0.953,0.316,0.478,-0.243,0.474
2014-11-18,0.564,3.008,0.574,0.762,0.461,0.737,0.767,1.974,0.119,2.006,2.366,3.301,1.461,1.944,-0.328,1.58,2.033,-0.079,1.745,0.448,1.773,1.18,0.833,0.703,3.491
2014-11-19,-1.868,0.986,0.483,1.297,-0.357,-0.286,-0.367,0.774,-1.625,2.517,0.21,-3.429,1.62,-0.351,1.901,5.348,2.076,-0.42,-0.224,-0.357,-0.647,-1.011,0.413,0.886,-0.365
2014-11-20,-0.254,-1.389,-0.525,-0.16,-0.922,-0.478,0.198,-0.427,-0.766,1.1,1.625,1.291,-0.31,-0.705,-0.861,-1.569,-1.627,-0.184,0.374,-0.717,0.301,0.628,-0.235,1.064,-0.64
2014-11-21,3.244,0.685,2.154,1.175,2.997,1.506,3.729,3.386,8.201,1.619,-5.209,4.143,5.331,2.13,1.592,8.439,2.894,1.505,4.468,1.264,0.799,3.747,2.121,1.106,4.144
2014-11-24,3.142,3.782,0.645,1.373,2.76,0.853,2.805,2.239,0.338,3.488,2.775,0.459,2.531,0.894,1.247,2.853,0.542,0.91,0.499,0.713,1.586,0.075,1.962,1.12,5.747
2014-11-25,-1.135,0,-1.539,0.885,0.391,-0.282,0.742,-1.379,0.486,-0.531,0.159,-0.228,1.851,0.591,-1.02,-0.378,-0.619,0.49,-0.284,0,0.927,0.602,-0.17,0.283,-1.254
2014-11-26,-0.302,-1.749,0,2.943,-1.119,-1.13,-1.551,-0.493,-3.201,0,1.85,0.611,-1.05,-0.294,-0.604,2.911,-1.287,0.539,0.356,1.239,0.387,0.523,1.19,-2.028,-0.339
2014-11-27,-0.606,-0.334,1.389,1.304,0.246,1.143,0.08,-0.041,-1.653,0.267,-1.972,1.517,-2.571,1.079,0.858,0.287,-1.263,1.097,-0.283,0,-0.481,-0.149,-0.616,-0.157,-0.425
2014-11-28,0,-2.791,-0.128,-0.099,0,-1.695,-1.254,-2.976,-2.541,0.506,1.006,0,-4.86,-2.136,-2.199,-2.167,-2.805,0.101,1.279,0.437,-0.242,-0.596,-0.056,-5.459,-6.399
2014-12-01,-0.488,-0.536,-0.515,-1.14,0.54,-1.341,0.541,-0.426,-0.682,0.768,2.725,0.075,-1.057,-1.141,1.885,-2.549,-1.104,-0.176,0.491,-0.783,0.776,0.824,0.564,-0.666,-2.826
2014-12-02,-0.429,1.193,-0.086,-1.704,0.098,0.68,0.672,0.941,0.202,2.049,1.122,1.195,0.757,-0.301,-1.779,-1.501,-0.815,0.379,0.209,-1.491,-0.626,-0.297,-0.28,0.419,0.563
2014-12-03,-0.369,0.076,0.518,0.153,0.683,1.865,1.362,1.526,0.202,0,1.615,-1.328,1.104,2.063,0.109,4.441,-2.64,-0.629,1.533,1.959,0.387,0.894,8.268,-3.145,0.187
2014-12-04,-1.915,-0.608,0.644,-0.458,0.484,-0.6,0.105,0.752,-0.282,-0.747,0.894,-1.72,-0.961,-1.627,-0.145,-0.208,-0.667,-0.253,-0.343,-1.31,-2.219,0.443,3.584,-0.517,-0.279
2014-12-05,1.259,2.141,2.303,1.841,1.06,1.016,0.658,1.865,1.936,1.271,-1.329,3.501,1.544,2.456,-0.109,3.425,0.447,0.381,1.997,0.973,1.381,1.618,0.251,2.917,-0.28
2014-12-08,-1.119,-1.984,-1.042,-0.251,-0.191,-0.66,0.105,-0.325,-0.119,-0.768,-1.297,0.221,-0.738,-0.685,-0.036,-3.15,-0.223,-0.228,-0.945,-0.263,1.265,-1.447,1.751,-1.488,-2.247
2014-12-09,-0.629,-1.261,-0.59,-1.108,-2.15,-0.411,-2.586,-0.327,-0.594,-3.485,-2.931,-4.475,2.057,-1.379,-3.993,-2.669,4.821,-1.115,-3.136,-1.406,-2.643,-2.496,-0.688,0.484,-0.096
2014-12-10,-0.38,0.155,0.466,0.102,1.953,-0.254,-1.153,-0.901,-2.352,5.429,1.145,1.306,-4.674,0.2,1.323,-2.956,-4.089,-0.231,0,-1.248,-0.79,0.527,-3.119,-0.652,-0.767
2014-12-11,-0.064,-0.077,0.759,-2.035,0.862,-0.096,0.19,-0.95,0.531,7.407,0.257,-0.758,-1.125,-0.548,0.597,-1.192,-1.377,0.899,0.633,0.361,0.498,-0.449,-1.022,0.599,-0.676
2014-12-12,-1.399,-2.938,-2.47,-1.61,-2.896,-3.189,-3.005,-1.293,-2.152,0.213,-5.031,-2.521,-1.365,-3.158,-1.447,-4.379,-3.422,-2.164,-2.587,-2.248,-0.594,-2.333,-0.361,-1.957,-1.848
2014-12-15,2.321,-1.235,-3.262,-4.697,-2.836,-1.943,-0.949,-3.593,-1.535,-2.734,0.811,-2.978,-5.443,-2.588,-3.688,-3.037,0,-1.926,-2.584,-2.116,-0.996,-2.234,-2.902,-1.418,-7.235
2014-12-16,-1.26,0.605,-1.42,0.055,4.429,-0.739,2.057,0.964,2.276,1.405,1.877,1.535,-4.439,-2.55,2.579,5.639,2.751,0.822,2.948,-2.82,1.459,4.019,6.403,4.872,-5.47
2014-12-17,1.978,0.321,-0.36,-1.107,0,0.541,0.828,-0.304,-0.082,2.318,3.105,0.636,1.685,-0.709,-0.99,5.611,-0.091,-0.974,0.787,0.484,0.347,-0.076,-1.705,1.371,-2.351
2014-12-18,2.315,1.478,2.575,1.567,3.952,1.952,2.327,2.962,2.763,2.055,1.123,3.399,4.518,2.252,3.655,3.283,1.181,2.525,4.19,2.214,2.273,3.563,2.041,1.657,4.12
2014-12-19,-0.489,0.315,0.749,-0.275,-0.139,0.264,0.749,-0.169,-1.124,-0.458,0.656,-1.07,-0.288,0.43,-1.114,-2.886,0.628,0.804,-0.341,0.282,0.966,-0.805,0.2,-0.163,-1.69
2014-12-22,0.061,-0.667,0.306,-0.055,0.186,0.263,0.637,0.72,0.852,-0.207,-0.602,0.541,0.53,0.695,0.938,-2.756,-0.981,1.389,0.958,-0.282,1.866,1.919,0,1.605,-2.668
2014-12-23,0.123,1.501,0,0.553,1.066,0.131,0.29,1.725,2.052,0,2.119,2.152,0.815,1.54,-1.413,6.289,2.477,0.482,2.304,1.224,1.879,0.797,1.896,0.669,1.998
2014-12-29,-0.123,1.012,0,-0.11,1.009,-0.886,0.026,-0.331,-0.079,1.336,-1.779,0,0.19,0.837,-0.528,1.667,-1.187,0,-0.265,-0.465,-0.553,-0.647,1.077,-0.106,-0.911
2014-12-30,-1.351,-1.541,-1.481,-1.101,-0.862,-0.132,-0.5,-1.162,-1.894,-1.318,0.905,-1.279,-3.748,-0.052,-2.275,-2.213,-2.447,-2.019,-1.262,-0.374,-0.278,-1.518,-0.969,-1.251,-1.839
2015-01-02,0.872,1.331,0.31,0.39,0.962,1.16,-0.608,0.42,-0.724,4.676,-0.249,1.296,0.148,-0.208,1.979,3.982,3.466,0.876,1.614,-0.469,0.604,1.101,2.153,0.377,3.044
2015-01-05,-1.481,-2.935,-1.235,-3.049,-1.859,-1.539,-0.851,-1.63,-2.107,-1.496,-0.5,-3.612,-1.575,-2.288,0.533,-6.409,-2.115,-1.098,-3.111,-1.885,-1.201,-1.888,-0.192,-1.826,-2.909
2015-01-07,-1.378,-2.308,2.321,-1.429,-1.063,-0.166,-0.859,-0.042,-1.325,-0.849,3.466,-0.625,2.8,-1.437,-3.596,0.215,-1.081,-1.162,-1.298,0.768,-1.216,0.666,-3.839,-1.778,0.094
2015-01-08,2.033,1.996,-0.393,2.494,1.635,2.699,0.758,1.19,2.727,1.96,1.019,2.121,3.064,1.188,3.18,4.77,5.644,2.168,3.737,3.051,0.994,1.618,0.998,-0.501,5.192
2015-01-09,-0.249,-1.518,0.131,-0.736,0.46,1.752,-0.698,0.336,0.122,0.221,-2.355,-2,-2.737,-1.814,4.452,-1.6,-0.086,-0.281,-0.667,-2.035,1.735,-0.072,-0.988,0.308,-0.578
2015-01-12,-0.874,-1.176,0.831,-0.456,0.274,-0.989,0.649,0.251,0.897,0.419,2.116,0.628,-1.456,0.272,-2.842,-3.085,1.38,0.051,1.746,0.567,1.152,1.81,0.798,-2.037,0.894
2015-01-13,-1.134,1.477,2.82,0.458,1.962,1.32,1.424,0.919,-0.606,0.22,-0.241,0.702,0.246,0.65,2.662,-1.376,2.935,1.333,0.99,2.066,-0.82,0.853,0.495,1.567,0.532
2015-01-14,0.637,-1.658,-2.194,-3.763,-0.224,-0.954,-1.696,-1.531,-4.433,-0.855,1.546,1.084,-3.045,-1.239,-0.804,-6.978,-6.983,-1.062,-1.438,-1.012,-1.608,-1.058,-0.493,-1.262,-3.88
2015-01-15,-1.329,2.22,1.251,2.31,0.717,3.626,2.049,3.573,1.532,0.42,2.521,-1.073,0.709,2.89,0.626,1.125,1.288,0.486,1.127,1.58,-0.934,1.497,6.139,3.267,3.119
